unit;y72;y86;y92;y93;y98;y00
HELE LANDET;63,4;56,2;49,3;56,7;55,1;46,8
København og Frederiksberg;47,5;36,3;38,3;44,7;49,2;45,7
Søndre Storkreds;43,8;33,4;36,3;42,2;47,4;44,5
Østre Storkreds;48,3;35,3;37,4;44,4;48,8;45
Vestre Storkreds;49,7;39,7;41;47;51,1;47,5
Øerne;63,9;54,9;49,6;56,5;54,6;46,4
Københavns Amtskreds;58,2;49,8;48,9;55,4;54,4;47,7
Frederiksborg Amtskreds;64,1;58;53,5;59,5;57,6;50,6
Roskilde Amtskreds;63,9;55,1;51,6;59;55,7;48,3
Vestsjællands Amtskreds;67;56,9;48,6;55,4;51,9;42,1
Storstrøms Amtskreds;68,6;56,1;48,4;55;51,9;42,4
Bornholms Amtskreds;62,6;57,3;49,3;53;53;41
Fyns Amtskreds;67,5;57,6;48,1;56,2;55,3;46,1
Jylland;68,6;62,5;51,6;59,9;57;47,4
Sønderjyllands Amtskreds;75,1;68,3;54,1;61,5;56,9;48,5
Ribe Amtskreds;70,9;68,1;53,7;61,3;58,1;47,8
Vejle Amtskreds;68,3;62,5;51,9;60,8;56,2;47,5
Ringkøbing Amtskreds;75,3;73,7;57,5;66,4;61,3;50,4
Århus Amtskreds;62,1;53,5;48,7;57,4;56,3;48,7
Viborg Amtskreds;74,6;67,7;53,6;62,8;59,5;47,6
Nordjyllands Amtskreds;66,3;59,5;48,7;55,9;54,5;43,2
